Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
BusinessIntelligence,DataMining,1,4.63E-05,0,0,0,0,,,,
Monitoring,S3,4,0.001563416,0,0,0,0,,,,
Developer,MySQL,1,5.01E-04,0,0,0,0,,,,
Developer,HTML,2,1.18E-04,0,0,0,0,,,,
Assurance,Scrum,5,2.88E-04,0,0,0,0,,,,
Finance,Python,2,1.47E-06,0,0,0,0,,,,
Analytics,Pentaho,5,1.28E-04,0,0,0,0,,,,
SAS,Analyst,104,2.44E-05,0,0,0,0,,,,
Excel,Design,109,5.47E-04,0,0,0,0,,,,
GO,SSRS,3,6.49E-04,0,0,0,0,,,,
Analyst,Analysis,425,1.01E-04,0,0,0,0,,,,
SQL,Storage,3,1.62E-04,0,0,0,0,,,,
R,ProductManagement,1,9.71E-05,0,0,0,0,,,,
Database,JavaScript,3,4.00E-05,0,0,0,0,,,,
BusinessIntelligence,Spring,1,4.63E-05,0,0,0,0,,,,
SQL,CRM,23,5.33E-05,0,0,0,0,,,,
PHP,jQuery,5,0.148809522,0,0,0,0,,,,
MySQL,Maven,1,0.333333343,0,0,0,0,,,,
UX,UI,1,0.028571429,0,0,0,0,,,,
UserInterface,UML,1,0.166666672,0,0,0,0,,,,
Analytic,Adobe,22,1.72E-04,0,0,0,0,,,,
Analytics,ApacheSpark,2,1.54E-04,0,0,0,0,,,,
Analysis,Troubleshooting,1,2.01E-05,0,0,0,0,,,,
Shell,Linux,1,0.25,0,0,0,0,,,,
Finance,SystemAdministration,1,7.92E-05,0,0,0,0,,,,
SQL,DataWarehouse,9,9.96E-05,0,0,0,0,,,,
Analysis,BigData,10,1.32E-05,0,0,0,0,,,,
Analytic,CommandLine,1,1.06E-04,0,0,0,0,,,,
SAS,BigData,9,4.34E-05,0,0,0,0,,,,
Developer,UML,1,5.01E-04,0,0,0,0,,,,
Analytics,DataManagement,5,1.59E-05,0,0,0,0,,,,
Analysis,Windows,1,6.69E-07,0,0,0,0,,,,
Reporting,Cloud,1,1.70E-06,0,0,0,0,,,,
Modeling,Waterfall,1,0.002222222,0,0,0,0,,,,
Analytic,REST,1,2.66E-05,0,0,0,0,,,,
Analyst,Android,1,1.39E-05,0,0,0,0,,,,
C,C++,2,2.31E-04,0,0,0,0,,,,
Agile,Database,24,6.79E-04,0,0,0,0,,,,
R,CustomerSupport,1,2.21E-06,0,0,0,0,,,,
Database,RelationalDatabase,3,2.02E-04,0,0,0,0,,,,
SQL,Pentaho,4,1.54E-04,0,0,0,0,,,,
Networking,Cloud,2,0.002976191,0,0,0,0,,,,
C,R,13,1.14E-04,0,0,0,0,,,,
Analyst,MsOffice,49,1.09E-04,0,0,0,0,,,,
Development,ComputerScience,11,4.97E-05,0,0,0,0,,,,
BusinessIntelligence,RelationalDatabase,4,2.97E-04,0,0,0,0,,,,
CSS,jQuery,1,0.005291005,0,0,0,0,,,,
Finance,Hadoop,3,4.75E-06,0,0,0,0,,,,
Analytic,React,1,8.87E-06,0,0,0,0,,,,
Agile,BusinessIntelligence,6,3.50E-05,0,0,0,0,,,,
Analytic,Unix,2,1.06E-04,0,0,0,0,,,,
Analyst,PerformanceTesting,3,4.16E-05,0,0,0,0,,,,
SQL,MongoDB,1,1.44E-04,0,0,0,0,,,,
Excel,RDBMS,1,2.80E-04,0,0,0,0,,,,
Agile,Network,21,4.39E-04,0,0,0,0,,,,
Analyst,Troubleshooting,2,2.77E-05,0,0,0,0,,,,
Network,RelationalDatabase,1,1.90E-05,0,0,0,0,,,,
Marketing,MsAccess,6,7.52E-05,0,0,0,0,,,,
Agile,GO,8,2.42E-04,0,0,0,0,,,,
Developer,Maven,1,0.001501502,0,0,0,0,,,,
SPSS,Hadoop,2,4.49E-05,0,0,0,0,,,,
Automation,Wordpress,2,0.013333334,0,0,0,0,,,,
Analysis,Android,1,4.01E-05,0,0,0,0,,,,
Analyst,Windows,10,2.31E-05,0,0,0,0,,,,
Finance,RelationalDatabases,1,8.80E-06,0,0,0,0,,,,
MySQL,UML,1,0.111111112,0,0,0,0,,,,
ApacheSpark,MongoDB,1,0.5,0,0,0,0,,,,
Analyst,BigData,12,6.57E-06,0,0,0,0,,,,
DataManagement,Pentaho,1,5.51E-04,0,0,0,0,,,,
Assurance,SharePoint,4,5.86E-05,0,0,0,0,,,,
Visio,Shell,1,0.013888889,0,0,0,0,,,,
C,Statistics,8,4.17E-04,0,0,0,0,,,,
Analytic,Couchbase,1,1.06E-04,0,0,0,0,,,,
DataManagement,DataWarehouse,1,7.06E-05,0,0,0,0,,,,
Excel,FrontEnd,1,2.80E-04,0,0,0,0,,,,
SAS,MsOffice,15,1.20E-04,0,0,0,0,,,,
SQL,Analytics,91,9.17E-05,0,0,0,0,,,,
Database,Swift,2,4.50E-04,0,0,0,0,,,,
Analysis,MsOffice,30,1.18E-04,0,0,0,0,,,,
VBA,Hadoop,1,3.53E-05,0,0,0,0,,,,
Reporting,Tester,2,1.91E-04,0,0,0,0,,,,
Analyst,ActiveDirectory,3,4.16E-05,0,0,0,0,,,,
Agile,JavaScript,2,4.60E-05,0,0,0,0,,,,
Reporting,MATLAB,5,6.62E-05,0,0,0,0,,,,
