Network,Density,Centrality,,,,,
1,0.019669051,0.005305903,,,,Density,0.000252638
2,0.00151653,0.003078252,,,,Centrality,0.002595428
3,5.27E-04,0.002484427,,,,,
4,2.53E-04,0.004689519,,,,,
5,1.45E-04,0.00171267,,,,,
6,1.14E-04,0.002595428,,,,,
7,0,7.31E-04,,,,,
