Network,Density,Centrality,,,,,
1,0.032906846,0.004919934,,,,Density,0.001719398
2,0.014860167,5.31E-04,,,,Centrality,0.001301898
3,0.00283995,6.48E-04,,,,,
4,0.001988979,0.004919934,,,,,
5,0.001449817,0.003621957,,,,,
6,3.37E-04,0.001342374,,,,,
7,2.50E-04,4.98E-04,,,,,
8,0,0.001261423,,,,,
