Node1,Node2,Co-occurrence,Strength,NetworkPass1,Order,NetworkPass2Node1,NetworkPass2Node2,,,,
Marketing,Pentaho,1,7.89E-06,0,0,0,0,,,,
DataWarehouse,Architect,3,0.003703704,0,0,0,0,,,,
Adobe,ComputerScience,1,2.08E-04,0,0,0,0,,,,
Finance,ReportingServices,1,1.88E-04,0,0,0,0,,,,
Tools,Windows,2,0.00154321,0,0,0,0,,,,
WebAnalytics,Monitoring,3,5.57E-05,0,0,0,0,,,,
Analyst,C,22,7.81E-05,0,0,0,0,,,,
WebAnalytics,Finance,2,2.53E-06,0,0,0,0,,,,
MsOffice,R,5,2.00E-04,0,0,0,0,,,,
Monitoring,S3,2,0.00245098,0,0,0,0,,,,
Modeling,Visualization,1,0.016666668,0,0,0,0,,,,
ComputerScience,CommandLine,1,0.020833334,0,0,0,0,,,,
Statistics,BigData,2,3.84E-04,0,0,0,0,,,,
Developer,HTML,1,3.09E-04,0,0,0,0,,,,
Analyst,CustomerSupport,7,2.60E-05,0,0,0,0,,,,
Assurance,Scrum,2,5.39E-04,0,0,0,0,,,,
CRM,Architect,3,2.94E-04,0,0,0,0,,,,
Finance,Python,1,5.21E-06,0,0,0,0,,,,
Analytics,Pentaho,4,2.69E-04,0,0,0,0,,,,
SAS,Analyst,51,3.30E-05,0,0,0,0,,,,
Excel,Design,40,5.23E-04,0,0,0,0,,,,
Database,UML,1,0.001098901,0,0,0,0,,,,
Analyst,Analysis,151,9.92E-05,0,0,0,0,,,,
R,ProductManagement,1,5.75E-04,0,0,0,0,,,,
ProjectManagement,Hadoop,1,6.27E-05,0,0,0,0,,,,
Reporting,RDBMS,1,2.61E-04,0,0,0,0,,,,
ComputerScience,REST,1,0.010416667,0,0,0,0,,,,
BusinessIntelligence,Spring,1,1.49E-04,0,0,0,0,,,,
Tableau,BusinessObjects,1,2.31E-04,0,0,0,0,,,,
Programming,GIS,1,0.001754386,0,0,0,0,,,,
Excel,Salesforce,1,4.13E-04,0,0,0,0,,,,
SQL,CRM,12,7.74E-05,0,0,0,0,,,,
PHP,jQuery,3,0.1875,0,0,0,0,,,,
SPSS,ProjectManagement,5,4.15E-04,0,0,0,0,,,,
GO,SSIS,1,6.17E-04,0,0,0,0,,,,
Marketing,DataManagement,2,8.61E-06,0,0,0,0,,,,
Excel,EDI,4,6.61E-04,0,0,0,0,,,,
BusinessIntelligence,MySQL,1,5.97E-04,0,0,0,0,,,,
Excel,Reporting,54,6.30E-04,0,0,0,0,,,,
Analyst,Tools,8,3.30E-05,0,0,0,0,,,,
UX,UI,1,0.100000001,0,0,0,0,,,,
UserInterface,UML,1,0.25,0,0,0,0,,,,
Analytic,Adobe,7,1.45E-04,0,0,0,0,,,,
Analytics,ApacheSpark,1,2.01E-04,0,0,0,0,,,,
SAS,C++,1,2.85E-05,0,0,0,0,,,,
Finance,DatabaseDesign,1,6.25E-05,0,0,0,0,,,,
SQL,DataWarehouse,5,1.69E-04,0,0,0,0,,,,
Analysis,BigData,4,1.67E-05,0,0,0,0,,,,
Analytic,CommandLine,1,2.96E-04,0,0,0,0,,,,
SAS,BigData,4,4.88E-05,0,0,0,0,,,,
C,Windows,1,1.21E-04,0,0,0,0,,,,
Analytics,DataManagement,3,4.12E-05,0,0,0,0,,,,
Analysis,C++,1,9.77E-06,0,0,0,0,,,,
WebAnalytics,CSS,1,0.001122335,0,0,0,0,,,,
Developer,JavaScript,1,9.65E-05,0,0,0,0,,,,
Analysis,Windows,1,3.26E-06,0,0,0,0,,,,
Solaris,ETL,1,0.010416667,0,0,0,0,,,,
SPSS,PHP,3,0.008522728,0,0,0,0,,,,
Analyst,Statistics,28,3.13E-04,0,0,0,0,,,,
Reporting,Cloud,1,1.24E-05,0,0,0,0,,,,
Analytic,REST,1,1.48E-04,0,0,0,0,,,,
C,C++,2,0.001449275,0,0,0,0,,,,
Windows,CustomerSupport,1,3.97E-04,0,0,0,0,,,,
CSS,Python,1,0.009259259,0,0,0,0,,,,
Programming,ETL,1,5.48E-05,0,0,0,0,,,,
Database,MySQL,1,0.001098901,0,0,0,0,,,,
Analysis,SoftwareEngineering,1,5.86E-05,0,0,0,0,,,,
SAS,R,18,1.27E-04,0,0,0,0,,,,
StatisticalAnalysis,Tableau,5,0.003561254,0,0,0,0,,,,
Agile,Database,7,7.53E-04,0,0,0,0,,,,
Analytics,.Net,1,2.01E-04,0,0,0,0,,,,
WebAnalytics,PHP,3,0.007575758,0,0,0,0,,,,
R,CustomerSupport,1,1.64E-05,0,0,0,0,,,,
Shell,DataWarehouse,1,0.018518519,0,0,0,0,,,,
Analyst,ProductManagement,2,7.42E-05,0,0,0,0,,,,
Hadoop,Hive,2,0.028571429,0,0,0,0,,,,
Analysis,R,20,5.39E-05,0,0,0,0,,,,
BusinessObjects,ETL,1,2.17E-04,0,0,0,0,,,,
RiskManagement,Finance,6,3.22E-05,0,0,0,0,,,,
SQL,Pentaho,3,2.74E-04,0,0,0,0,,,,
C,R,5,1.25E-04,0,0,0,0,,,,
Monitoring,RiskManagement,4,1.40E-04,0,0,0,0,,,,
ProjectManagement,VBA,6,0.002024292,0,0,0,0,,,,
Analyst,MsOffice,23,1.36E-04,5,3,0,0,,,,
C,ActiveDirectory,1,0.002173913,0,0,0,0,,,,
VBA,PHP,3,0.028846154,0,0,0,0,,,,
Development,ComputerScience,3,2.58E-05,0,0,0,0,,,,
BusinessIntelligence,RelationalDatabase,3,7.17E-04,0,0,0,0,,,,
CSS,jQuery,1,0.027777778,0,0,0,0,,,,
Analysis,DataScience,1,1.95E-05,0,0,0,0,,,,
Finance,Hadoop,3,2.41E-05,0,0,0,0,,,,
Analytic,React,1,9.85E-05,0,0,0,0,,,,
SAS,DataScience,1,5.69E-05,0,0,0,0,,,,
Excel,Assurance,12,2.56E-04,0,0,0,0,,,,
GO,Developer,3,2.31E-04,0,0,0,0,,,,
Design,Scrum,2,9.89E-05,0,0,0,0,,,,
Network,Developer,1,8.17E-06,0,0,0,0,,,,
MapReduce,Hive,1,0.25,0,0,0,0,,,,
Database,DataVisualization,1,0.002197802,0,0,0,0,,,,
Analyst,PerformanceTesting,1,3.71E-05,0,0,0,0,,,,
