Network,Density,Centrality,,,,,
1,0.056797195,0.018680795,,,,Density,0.000512566
2,0.006927486,0.005821628,,,,Centrality,0.005470838
3,0.004207765,0.010006168,,,,,
4,7.32E-04,0.005581649,,,,,
5,7.30E-04,0.018680795,,,,,
6,5.69E-04,0.002334059,,,,,
7,4.56E-04,0.00750904,,,,,
8,2.47E-04,9.98E-04,,,,,
9,1.86E-04,0.001227014,,,,,
10,1.13E-04,0.005360026,,,,,
11,3.95E-05,0.002370179,,,,,
12,0,0.00452005,,,,,
